epoch 224, seq 500/500, tr loss 0.046697 te loss 0.045984 lr: 0.000800 
epoch 226, seq 500/500, tr loss 0.046586 te loss 0.045916 lr: 0.000798 
epoch 228, seq 500/500, tr loss 0.046476 te loss 0.045848 lr: 0.000797 
epoch 230, seq 500/500, tr loss 0.046365 te loss 0.045781 lr: 0.000795 
epoch 232, seq 500/500, tr loss 0.046253 te loss 0.045713 lr: 0.000794 
epoch 234, seq 500/500, tr loss 0.046140 te loss 0.045646 lr: 0.000792 
epoch 236, seq 500/500, tr loss 0.046027 te loss 0.045578 lr: 0.000790 
epoch 238, seq 500/500, tr loss 0.045913 te loss 0.045509 lr: 0.000789 
epoch 240, seq 500/500, tr loss 0.045797 te loss 0.045440 lr: 0.000787 
epoch 242, seq 500/500, tr loss 0.045680 te loss 0.045370 lr: 0.000786 
epoch 244, seq 500/500, tr loss 0.045562 te loss 0.045299 lr: 0.000784 
epoch 246, seq 500/500, tr loss 0.045442 te loss 0.045227 lr: 0.000783 
epoch 248, seq 500/500, tr loss 0.045320 te loss 0.045153 lr: 0.000781 
epoch 250, seq 500/500, tr loss 0.045196 te loss 0.045079 lr: 0.000779 
epoch 252, seq 500/500, tr loss 0.045070 te loss 0.045002 lr: 0.000778 
epoch 254, seq 500/500, tr loss 0.044942 te loss 0.044924 lr: 0.000776 
epoch 256, seq 500/500, tr loss 0.044812 te loss 0.044845 lr: 0.000775 
epoch 258, seq 500/500, tr loss 0.044679 te loss 0.044763 lr: 0.000773 
epoch 260, seq 500/500, tr loss 0.044544 te loss 0.044680 lr: 0.000772 
epoch 262, seq 500/500, tr loss 0.044406 te loss 0.044594 lr: 0.000770 
epoch 264, seq 500/500, tr loss 0.044265 te loss 0.044506 lr: 0.000769 
epoch 266, seq 500/500, tr loss 0.044122 te loss 0.044416 lr: 0.000767 
epoch 268, seq 500/500, tr loss 0.043975 te loss 0.044323 lr: 0.000766 
epoch 270, seq 500/500, tr loss 0.043826 te loss 0.044227 lr: 0.000764 
