epoch 357, seq 200/300, tr loss 0.155908 te loss 0.170623 lr: 0.000700 
epoch 360, seq 300/300, tr loss 0.155026 te loss 0.169511 lr: 0.000698 
epoch 364, seq 100/300, tr loss 0.154170 te loss 0.168528 lr: 0.000695 
epoch 367, seq 200/300, tr loss 0.153311 te loss 0.167465 lr: 0.000693 
epoch 370, seq 300/300, tr loss 0.152443 te loss 0.166374 lr: 0.000691 
epoch 374, seq 100/300, tr loss 0.151595 te loss 0.165414 lr: 0.000689 
epoch 377, seq 200/300, tr loss 0.150738 te loss 0.164364 lr: 0.000686 
epoch 380, seq 300/300, tr loss 0.149865 te loss 0.163278 lr: 0.000684 
epoch 384, seq 100/300, tr loss 0.149007 te loss 0.162325 lr: 0.000682 
epoch 387, seq 200/300, tr loss 0.148136 te loss 0.161273 lr: 0.000680 
epoch 390, seq 300/300, tr loss 0.147246 te loss 0.160180 lr: 0.000678 
epoch 394, seq 100/300, tr loss 0.146373 te loss 0.159228 lr: 0.000675 
epoch 397, seq 200/300, tr loss 0.145488 te loss 0.158172 lr: 0.000673 
epoch 400, seq 300/300, tr loss 0.144589 te loss 0.157081 lr: 0.000671 
epoch 404, seq 100/300, tr loss 0.143714 te loss 0.156141 lr: 0.000668 
epoch 407, seq 200/300, tr loss 0.142833 te loss 0.155094 lr: 0.000666 
epoch 410, seq 300/300, tr loss 0.141944 te loss 0.154020 lr: 0.000664 
epoch 414, seq 100/300, tr loss 0.141084 te loss 0.153103 lr: 0.000662 
epoch 417, seq 200/300, tr loss 0.140218 te loss 0.152074 lr: 0.000660 
epoch 420, seq 300/300, tr loss 0.139349 te loss 0.151021 lr: 0.000658 
epoch 424, seq 100/300, tr loss 0.138506 te loss 0.150127 lr: 0.000655 
epoch 427, seq 200/300, tr loss 0.137654 te loss 0.149108 lr: 0.000653 
epoch 430, seq 300/300, tr loss 0.136796 te loss 0.148071 lr: 0.000651 
epoch 434, seq 100/300, tr loss 0.135961 te loss 0.147192 lr: 0.000648 
epoch 437, seq 200/300, tr loss 0.135110 te loss 0.146172 lr: 0.000646 
epoch 440, seq 300/300, tr loss 0.134253 te loss 0.145138 lr: 0.000645 
epoch 444, seq 100/300, tr loss 0.133416 te loss 0.144270 lr: 0.000642 
epoch 447, seq 200/300, tr loss 0.132559 te loss 0.143242 lr: 0.000640 
epoch 450, seq 300/300, tr loss 0.131701 te loss 0.142208 lr: 0.000638 
epoch 454, seq 100/300, tr loss 0.130862 te loss 0.141353 lr: 0.000636 
epoch 457, seq 200/300, tr loss 0.130003 te loss 0.140319 lr: 0.000634 
epoch 460, seq 300/300, tr loss 0.129149 te loss 0.139288 lr: 0.000632 
epoch 464, seq 100/300, tr loss 0.128316 te loss 0.138452 lr: 0.000629 
epoch 467, seq 200/300, tr loss 0.127467 te loss 0.137422 lr: 0.000627 
epoch 470, seq 300/300, tr loss 0.126627 te loss 0.136401 lr: 0.000625 
epoch 474, seq 100/300, tr loss 0.125811 te loss 0.135595 lr: 0.000623 
epoch 477, seq 200/300, tr loss 0.124983 te loss 0.134583 lr: 0.000621 
epoch 480, seq 300/300, tr loss 0.124168 te loss 0.133584 lr: 0.000619 
epoch 484, seq 100/300, tr loss 0.123379 te loss 0.132817 lr: 0.000617 
epoch 487, seq 200/300, tr loss 0.122580 te loss 0.131834 lr: 0.000615 
epoch 490, seq 300/300, tr loss 0.121797 te loss 0.130863 lr: 0.000613 
epoch 494, seq 100/300, tr loss 0.121039 te loss 0.130140 lr: 0.000611 
epoch 497, seq 200/300, tr loss 0.120274 te loss 0.129191 lr: 0.000609 
epoch 500, seq 300/300, tr loss 0.119524 te loss 0.128250 lr: 0.000607 
epoch 504, seq 100/300, tr loss 0.118798 te loss 0.127568 lr: 0.000605 
epoch 507, seq 200/300, tr loss 0.118066 te loss 0.126654 lr: 0.000603 
epoch 510, seq 300/300, tr loss 0.117349 te loss 0.125742 lr: 0.000601 
epoch 514, seq 100/300, tr loss 0.116653 te loss 0.125097 lr: 0.000599 
epoch 517, seq 200/300, tr loss 0.115951 te loss 0.124216 lr: 0.000597 
epoch 520, seq 300/300, tr loss 0.115265 te loss 0.123329 lr: 0.000595 
epoch 524, seq 100/300, tr loss 0.114597 te loss 0.122717 lr: 0.000593 
epoch 527, seq 200/300, tr loss 0.113922 te loss 0.121865 lr: 0.000591 
epoch 530, seq 300/300, tr loss 0.113263 te loss 0.121001 lr: 0.000589 
epoch 534, seq 100/300, tr loss 0.112620 te loss 0.120417 lr: 0.000587 
epoch 537, seq 200/300, tr loss 0.111970 te loss 0.119595 lr: 0.000585 
epoch 540, seq 300/300, tr loss 0.111335 te loss 0.118752 lr: 0.000583 
epoch 544, seq 100/300, tr loss 0.110714 te loss 0.118194 lr: 0.000581 
epoch 547, seq 200/300, tr loss 0.110086 te loss 0.117399 lr: 0.000579 
epoch 550, seq 300/300, tr loss 0.109474 te loss 0.116578 lr: 0.000577 
epoch 554, seq 100/300, tr loss 0.108872 te loss 0.116043 lr: 0.000575 
epoch 557, seq 200/300, tr loss 0.108264 te loss 0.115276 lr: 0.000573 
epoch 560, seq 300/300, tr loss 0.107674 te loss 0.114476 lr: 0.000572 
epoch 564, seq 100/300, tr loss 0.107090 te loss 0.113964 lr: 0.000569 
epoch 567, seq 200/300, tr loss 0.106500 te loss 0.113222 lr: 0.000568 
epoch 570, seq 300/300, tr loss 0.105929 te loss 0.112443 lr: 0.000566 
epoch 574, seq 100/300, tr loss 0.105360 te loss 0.111951 lr: 0.000564 
epoch 577, seq 200/300, tr loss 0.104787 te loss 0.111231 lr: 0.000562 
epoch 580, seq 300/300, tr loss 0.104232 te loss 0.110468 lr: 0.000560 
epoch 584, seq 100/300, tr loss 0.103676 te loss 0.109994 lr: 0.000558 
epoch 587, seq 200/300, tr loss 0.103115 te loss 0.109292 lr: 0.000556 
epoch 590, seq 300/300, tr loss 0.102573 te loss 0.108540 lr: 0.000555 
epoch 594, seq 100/300, tr loss 0.102025 te loss 0.108082 lr: 0.000553 
epoch 597, seq 200/300, tr loss 0.101471 te loss 0.107392 lr: 0.000551 
epoch 600, seq 300/300, tr loss 0.100934 te loss 0.106645 lr: 0.000549 
