epoch 477, seq 200/300, tr loss 0.005747 te loss 0.011750 lr: 0.000621 
epoch 480, seq 300/300, tr loss 0.005720 te loss 0.011429 lr: 0.000619 
epoch 484, seq 100/300, tr loss 0.005673 te loss 0.011665 lr: 0.000617 
epoch 487, seq 200/300, tr loss 0.005643 te loss 0.011648 lr: 0.000615 
epoch 490, seq 300/300, tr loss 0.005618 te loss 0.011330 lr: 0.000613 
epoch 494, seq 100/300, tr loss 0.005573 te loss 0.011567 lr: 0.000611 
epoch 497, seq 200/300, tr loss 0.005544 te loss 0.011551 lr: 0.000609 
epoch 500, seq 300/300, tr loss 0.005521 te loss 0.011238 lr: 0.000607 
epoch 504, seq 100/300, tr loss 0.005477 te loss 0.011474 lr: 0.000605 
epoch 507, seq 200/300, tr loss 0.005449 te loss 0.011461 lr: 0.000603 
epoch 510, seq 300/300, tr loss 0.005428 te loss 0.011152 lr: 0.000601 
epoch 514, seq 100/300, tr loss 0.005386 te loss 0.011388 lr: 0.000599 
epoch 517, seq 200/300, tr loss 0.005360 te loss 0.011376 lr: 0.000597 
epoch 520, seq 300/300, tr loss 0.005340 te loss 0.011071 lr: 0.000595 
epoch 524, seq 100/300, tr loss 0.005299 te loss 0.011306 lr: 0.000593 
epoch 527, seq 200/300, tr loss 0.005274 te loss 0.011297 lr: 0.000591 
epoch 530, seq 300/300, tr loss 0.005255 te loss 0.010997 lr: 0.000589 
epoch 534, seq 100/300, tr loss 0.005216 te loss 0.011231 lr: 0.000587 
epoch 537, seq 200/300, tr loss 0.005192 te loss 0.011223 lr: 0.000585 
epoch 540, seq 300/300, tr loss 0.005174 te loss 0.010928 lr: 0.000583 
epoch 544, seq 100/300, tr loss 0.005136 te loss 0.011160 lr: 0.000581 
epoch 547, seq 200/300, tr loss 0.005114 te loss 0.011155 lr: 0.000579 
epoch 550, seq 300/300, tr loss 0.005097 te loss 0.010863 lr: 0.000577 
epoch 554, seq 100/300, tr loss 0.005060 te loss 0.011094 lr: 0.000575 
epoch 557, seq 200/300, tr loss 0.005038 te loss 0.011091 lr: 0.000573 
epoch 560, seq 300/300, tr loss 0.005022 te loss 0.010803 lr: 0.000572 
epoch 564, seq 100/300, tr loss 0.004987 te loss 0.011032 lr: 0.000569 
epoch 567, seq 200/300, tr loss 0.004966 te loss 0.011031 lr: 0.000568 
epoch 570, seq 300/300, tr loss 0.004951 te loss 0.010748 lr: 0.000566 
epoch 574, seq 100/300, tr loss 0.004917 te loss 0.010975 lr: 0.000564 
epoch 577, seq 200/300, tr loss 0.004897 te loss 0.010976 lr: 0.000562 
epoch 580, seq 300/300, tr loss 0.004883 te loss 0.010696 lr: 0.000560 
epoch 584, seq 100/300, tr loss 0.004849 te loss 0.010922 lr: 0.000558 
epoch 587, seq 200/300, tr loss 0.004830 te loss 0.010924 lr: 0.000556 
epoch 590, seq 300/300, tr loss 0.004817 te loss 0.010648 lr: 0.000555 
epoch 594, seq 100/300, tr loss 0.004784 te loss 0.010872 lr: 0.000553 
epoch 597, seq 200/300, tr loss 0.004766 te loss 0.010875 lr: 0.000551 
epoch 600, seq 300/300, tr loss 0.004753 te loss 0.010603 lr: 0.000549 
